stim,stim_cat,frequency
aived,nonword,nonword
amts,nonword,nonword
anom,nonword,nonword
auds,nonword,nonword
axus,nonword,nonword
bafe,nonword,nonword
bakl,nonword,nonword
baos,nonword,nonword
beass,nonword,nonword
beir,nonword,nonword
bers,nonword,nonword
bewl,nonword,nonword
bief,nonword,nonword
bilt,nonword,nonword
blane,nonword,nonword
blant,nonword,nonword
bloe,nonword,nonword
bluw,nonword,nonword
boek,nonword,nonword
boen,nonword,nonword
bopes,nonword,nonword
bord,nonword,nonword
borf,nonword,nonword
burd,nonword,nonword
bynd,nonword,nonword
caled,nonword,nonword
chims,nonword,nonword
cire,nonword,nonword
cliy,nonword,nonword
cojy,nonword,nonword
coll,nonword,nonword
comp,nonword,nonword
coved,nonword,nonword
cozed,nonword,nonword
cres,nonword,nonword
culd,nonword,nonword
cyrt,nonword,nonword
dacks,nonword,nonword
dahn,nonword,nonword
dall,nonword,nonword
dasa,nonword,nonword
deaps,nonword,nonword
deil,nonword,nonword
desn,nonword,nonword
deve,nonword,nonword
diad,nonword,nonword
diar,nonword,nonword
dight,nonword,nonword
diped,nonword,nonword
doal,nonword,nonword
doked,nonword,nonword
dones,nonword,nonword
doods,nonword,nonword
dour,nonword,nonword
dous,nonword,nonword
dowed,nonword,nonword
driw,nonword,nonword
dyny,nonword,nonword
dyte,nonword,nonword
easo,nonword,nonword
eirs,nonword,nonword
fands,nonword,nonword
fanks,nonword,nonword
faste,nonword,nonword
fato,nonword,nonword
faunt,nonword,nonword
fawl,nonword,nonword
fele,nonword,nonword
felk,nonword,nonword
ferd,nonword,nonword
fice,nonword,nonword
flars,nonword,nonword
flass,nonword,nonword
foag,nonword,nonword
foar,nonword,nonword
foet,nonword,nonword
folls,nonword,nonword
fook,nonword,nonword
foped,nonword,nonword
forl,nonword,nonword
frows,nonword,nonword
gades,nonword,nonword
gand,nonword,nonword
geme,nonword,nonword
ghot,nonword,nonword
gind,nonword,nonword
gine,nonword,nonword
gines,nonword,nonword
giod,nonword,nonword
glave,nonword,nonword
gosf,nonword,nonword
goul,nonword,nonword
gove,nonword,nonword
gowed,nonword,nonword
grash,nonword,nonword
gribs,nonword,nonword
hadm,nonword,nonword
hamed,nonword,nonword
harls,nonword,nonword
heaks,nonword,nonword
hele,nonword,nonword
helts,nonword,nonword
hete,nonword,nonword
higg,nonword,nonword
hoat,nonword,nonword
hofy,nonword,nonword
hools,nonword,nonword
hord,nonword,nonword
hoze,nonword,nonword
hurd,nonword,nonword
huse,nonword,nonword
hyll,nonword,nonword
ideo,nonword,nonword
ilon,nonword,nonword
jatch,nonword,nonword
jear,nonword,nonword
jemp,nonword,nonword
jine,nonword,nonword
jods,nonword,nonword
joles,nonword,nonword
jolls,nonword,nonword
joped,nonword,nonword
jorn,nonword,nonword
jost,nonword,nonword
jound,nonword,nonword
jusy,nonword,nonword
kalk,nonword,nonword
kees,nonword,nonword
kelf,nonword,nonword
lail,nonword,nonword
lails,nonword,nonword
laped,nonword,nonword
lawt,nonword,nonword
leams,nonword,nonword
leck,nonword,nonword
lefe,nonword,nonword
lides,nonword,nonword
liop,nonword,nonword
lish,nonword,nonword
liss,nonword,nonword
livu,nonword,nonword
lohe,nonword,nonword
mahy,nonword,nonword
mands,nonword,nonword
maon,nonword,nonword
mapes,nonword,nonword
meap,nonword,nonword
mede,nonword,nonword
mefs,nonword,nonword
meit,nonword,nonword
meke,nonword,nonword
mings,nonword,nonword
minu,nonword,nonword
moad,nonword,nonword
moke,nonword,nonword
mond,nonword,nonword
mors,nonword,nonword
mour,nonword,nonword
mund,nonword,nonword
murk,nonword,nonword
mury,nonword,nonword
nacy,nonword,nonword
nares,nonword,nonword
naxe,nonword,nonword
nece,nonword,nonword
nuat,nonword,nonword
nush,nonword,nonword
oggs,nonword,nonword
oined,nonword,nonword
onta,nonword,nonword
oply,nonword,nonword
ovor,nonword,nonword
paip,nonword,nonword
pald,nonword,nonword
palks,nonword,nonword
pand,nonword,nonword
pank,nonword,nonword
parg,nonword,nonword
parns,nonword,nonword
peans,nonword,nonword
petch,nonword,nonword
phim,nonword,nonword
poar,nonword,nonword
poods,nonword,nonword
pooms,nonword,nonword
prode,nonword,nonword
raal,nonword,nonword
rafed,nonword,nonword
raiw,nonword,nonword
rames,nonword,nonword
reets,nonword,nonword
reor,nonword,nonword
rilo,nonword,nonword
roat,nonword,nonword
roaw,nonword,nonword
rulls,nonword,nonword
ryof,nonword,nonword
saunt,nonword,nonword
sawd,nonword,nonword
scut,nonword,nonword
selts,nonword,nonword
seus,nonword,nonword
shate,nonword,nonword
sizy,nonword,nonword
slank,nonword,nonword
slans,nonword,nonword
slipe,nonword,nonword
snave,nonword,nonword
soans,nonword,nonword
solks,nonword,nonword
soops,nonword,nonword
sowls,nonword,nonword
spake,nonword,nonword
spart,nonword,nonword
spyt,nonword,nonword
stace,nonword,nonword
stape,nonword,nonword
starp,nonword,nonword
steet,nonword,nonword
syem,nonword,nonword
talts,nonword,nonword
teeks,nonword,nonword
terp,nonword,nonword
tilks,nonword,nonword
tinds,nonword,nonword
tonu,nonword,nonword
tound,nonword,nonword
tulls,nonword,nonword
tuze,nonword,nonword
tyke,nonword,nonword
ulse,nonword,nonword
vakes,nonword,nonword
vaty,nonword,nonword
vece,nonword,nonword
vides,nonword,nonword
vills,nonword,nonword
vints,nonword,nonword
viow,nonword,nonword
voce,nonword,nonword
vohn,nonword,nonword
wamed,nonword,nonword
weke,nonword,nonword
weve,nonword,nonword
wints,nonword,nonword
woads,nonword,nonword
woles,nonword,nonword
womd,nonword,nonword
yanes,nonword,nonword
zelo,nonword,nonword
zews,nonword,nonword
acid,word,medium
adopt,word,low
aide,word,low
akin,word,low
alas,word,low
ally,word,medium
amid,word,low
arch,word,low
awful,word,medium
bake,word,medium
bald,word,medium
bang,word,medium
berry,word,low
bile,word,low
bind,word,low
bite,word,medium
blank,word,medium
bleak,word,low
bloat,word,low
blown,word,medium
bluff,word,medium
boast,word,low
boon,word,low
brass,word,medium
bulky,word,low
bunch,word,medium
buzz,word,medium
café,word,low
cage,word,medium
cake,word,medium
calf,word,low
candy,word,medium
cane,word,medium
cape,word,medium
cared,word,medium
cave,word,medium
chaos,word,medium
chef,word,medium
chill,word,medium
cone,word,low
cord,word,medium
crawl,word,medium
creed,word,low
crown,word,medium
crude,word,low
cult,word,low
cups,word,medium
curd,word,low
cute,word,medium
dale,word,medium
dandy,word,low
dared,word,low
dated,word,medium
deals,word,medium
debt,word,medium
deed,word,medium
dense,word,low
dice,word,medium
dies,word,medium
dole,word,low
dolls,word,medium
dome,word,low
dose,word,medium
doses,word,low
drum,word,medium
dual,word,low
duly,word,low
dunes,word,low
dung,word,low
dunk,word,low
dusty,word,medium
eaten,word,medium
echo,word,medium
epic,word,low
exert,word,low
fake,word,medium
fame,word,medium
ferry,word,medium
filly,word,low
flame,word,medium
flee,word,low
focal,word,low
folly,word,low
fond,word,medium
freed,word,low
fury,word,low
gale,word,low
gauge,word,low
gaze,word,low
gild,word,low
gist,word,low
gland,word,low
globe,word,medium
glove,word,medium
goat,word,medium
grief,word,medium
grill,word,low
grit,word,low
gunk,word,low
handy,word,medium
haste,word,low
hawk,word,medium
heed,word,low
hello,word,medium
hick,word,low
hire,word,medium
hose,word,medium
hymn,word,low
knit,word,low
lark,word,low
lazy,word,medium
leaf,word,low
lend,word,medium
lever,word,low
lice,word,low
lied,word,medium
lime,word,low
lined,word,medium
lint,word,low
liver,word,medium
lobe,word,low
lone,word,medium
lope,word,low
loud,word,medium
lover,word,medium
lull,word,low
lungs,word,medium
lyric,word,low
mare,word,low
media,word,medium
merry,word,medium
mite,word,low
moan,word,low
monk,word,medium
mound,word,low
mouse,word,medium
muck,word,low
mute,word,low
neon,word,low
niece,word,medium
norm,word,low
norm,word,medium
nurse,word,medium
oath,word,medium
obey,word,medium
oddly,word,low
okay,word,medium
overt,word,low
oxen,word,low
paced,word,low
pare,word,low
patch,word,medium
pave,word,low
peck,word,low
perk,word,low
piled,word,low
pine,word,medium
pipe,word,medium
pity,word,medium
plea,word,medium
pole,word,medium
pore,word,low
pose,word,medium
prone,word,low
prow,word,low
pupil,word,low
quit,word,medium
rabbi,word,medium
raced,word,low
rage,word,medium
raged,word,low
raid,word,medium
rake,word,low
rated,word,low
rely,word,medium
repel,word,low
ridge,word,medium
ripe,word,low
rite,word,low
roast,word,medium
rope,word,medium
rung,word,low
sane,word,medium
scout,word,medium
shake,word,medium
sham,word,low
sheer,word,low
shoe,word,medium
shout,word,medium
sigh,word,low
silly,word,medium
sine,word,low
slack,word,medium
slate,word,low
slope,word,low
slump,word,low
sock,word,medium
sole,word,medium
soot,word,low
sore,word,medium
soup,word,medium
spray,word,medium
spur,word,low
stack,word,medium
stag,word,low
stake,word,medium
stare,word,medium
steep,word,medium
steep,word,low
stole,word,medium
stool,word,low
taxi,word,medium
tech,word,medium
thief,word,medium
thru,word,low
tile,word,low
timed,word,low
toil,word,low
tooth,word,medium
topic,word,medium
tore,word,medium
tout,word,low
tower,word,medium
trick,word,medium
trio,word,low
trot,word,low
upset,word,medium
utter,word,low
veto,word,low
virus,word,medium
void,word,low
waved,word,low
weary,word,low
wick,word,low
wing,word,medium
wipe,word,medium
wired,word,medium
wiry,word,low
woke,word,medium
zest,word,low
zinc,word,low
zone,word,medium
